ID,LogConc,LogFC,P.val,adj.p.val
mir-18b,0.1178238494,7.938904591,0.1128412852,0.2644612293
mir-577,-0.686274915,2.0772756819,0.113035848,0.2644612293
mir-877,-0.2958263604,5.3191277148,0.1135503426,0.2648321469
mir-543,-0.2607953312,4.4061726437,0.1163694137,0.2699052543
mir-643,0.2909165865,3.3891217933,0.1164510573,0.2699052543
mir-23c,0.4017655619,2.7691062101,0.1189761558,0.2749014282
mir-6815,0.3970304249,2.8717095473,0.1210874963,0.2789136137
mir-6786,-0.3314569986,3.4125198234,0.1220601494,0.2802862689
mir-6875,-0.5739848329,2.1791112489,0.1241399017,0.2841848826
mir-7106,0.6596292977,2.305782057,0.1276004728,0.291210895
mir-548ap,-0.2027275802,3.4862569133,0.128019643,0.2912740502
mir-6775,0.3165153838,4.1572996541,0.12873868,0.2920170058
mir-3686,-0.9686548517,1.8529818698,0.1300784841,0.2941592467
mir-4745,0.202453239,2.7421885899,0.1309128154,0.2944671652
mir-130c,-0.8844528405,1.8709533559,0.1310062254,0.2944671652
mir-212,0.3212049641,3.6331217927,0.1315451356,0.2947878943
mir-4677,0.152647213,4.423415839,0.1319598529,0.2948292208
mir-487b,-0.4012756951,3.3212693021,0.1383614156,0.3082062671
mir-3162,0.3844298445,2.385488827,0.1397815471,0.3104402122
mir-193b,-0.5087305462,3.4656886351,0.14044106,0.3106648389
mir-3200,0.0004325652,7.3526635641,0.1407178101,0.3106648389
mir-143,-0.0593607945,7.3634007289,0.1414196743,0.3112906441
mir-6780a,-0.6197230874,2.4813106559,0.1439330439,0.3158884503
mir-668,0.2131252716,2.5777319815,0.1457256044,0.3188819107
mir-1983,-0.303874901,5.3812787111,0.1469717623,0.3206656631
mir-4714,-0.5927668688,2.3791816964,0.1488882434,0.3232323811
mir-27a,0.0088095565,8.5369363249,0.1497535923,0.3232323811
mir-5090,-0.877654799,1.8054620898,0.1503031804,0.3232323811
mir-142b,-0.8679638485,1.8006610186,0.1503031804,0.3232323811
mir-3117,-0.690188118,2.8066959382,0.1503204353,0.3232323811
mir-1278,-0.5594985174,1.9239404239,0.1593546159,0.3416709921
mir-299,-0.2336037299,2.5736352988,0.1621241143,0.3456371099
mir-130b,-0.0031760789,9.158835672,0.1627296696,0.3456371099
mir-574,0.0274275183,8.4766072575,0.1636815001,0.3456371099
mir-3692,0.2908996645,2.0396080922,0.1642160435,0.3456371099
mir-1251,-1.2699621453,1.6347178362,0.1642826209,0.3456371099
mir-3137,0.8810075052,1.6998182753,0.1643163503,0.3456371099
mir-4767,0.7839398342,1.9206011661,0.1644563668,0.3456371099
mir-4422,0.3153226673,3.1470994166,0.1667184268,0.348003222
mir-3962,-1.0003628327,1.7176714927,0.16695204,0.348003222
mir-548l,0.240203954,3.4215041253,0.166985417,0.348003222
mir-338,0.1615388072,4.4311296419,0.1742996157,0.3622316036
mir-548aw,-0.6202952807,2.3427140125,0.1764157192,0.3645924863
mir-4645,-0.5739848329,2.3618564012,0.1764157192,0.3645924863
mir-3944,0.1729003803,5.0782828269,0.1769853778,0.3647565681
mir-452,-0.3431599953,2.9825572994,0.1801725521,0.3702993888
mir-382,-0.494829638,3.5311404149,0.1873553419,0.3834516006
mir-7111,0.3556178456,2.3459060625,0.1887566651,0.3834516006
mir-4474,-1.2056931053,1.8337089428,0.1896642326,0.3834516006
mir-3609,-1.0627744111,1.8352213552,0.1896642326,0.3834516006
mir-6395,-1.0396183998,1.835981944,0.1896642326,0.3834516006
mir-3161,-0.7893012315,1.8324555418,0.1896642326,0.3834516006
mir-1307,0.0792729844,7.8478977784,0.1933973823,0.389485028
mir-1249,-0.1339974384,6.6380892097,0.1941027426,0.389485028
mir-95,0.5008805124,2.4123004481,0.1942190126,0.389485028
mir-3065,0.5157878868,1.8367515298,0.1953082188,0.3906164377
mir-495,-0.1922454304,3.9049921497,0.2054540183,0.4098064064
mir-6810,0.566088955,2.2662818627,0.2131619331,0.4240440594
mir-3184,-0.8844528405,2.0037657576,0.2145723635,0.4257115691
mir-3176,-0.374198166,2.6502831746,0.2169774099,0.4293382792
mir-624,0.1699004314,5.7605290349,0.2202682523,0.4346938454
mir-126,0.0123703183,10.7944212205,0.2212011284,0.4353799988
mir-7109,-0.2622672454,2.4579867521,0.2227261683,0.4372249847
mir-101a,-1.0396183998,1.8710940723,0.2263640995,0.4428623877
mir-3164,0.5634975092,2.0310428163,0.2267884001,0.4428623877
mir-582,-0.3094286545,4.0157555756,0.2279778145,0.4440196177
mir-6882,-0.2766275056,3.0785042268,0.2286815877,0.4442274183
mir-4725,0.6539065064,1.768971331,0.2318473595,0.4492042591
mir-3138,0.0253514312,3.393901768,0.2336978074,0.4512772071
mir-4676,-0.4045883667,3.4896378088,0.2341303789,0.4512772071
let-7j,-0.1236943852,6.2701520209,0.2354406121,0.452630014
mir-5193,-0.3421102875,2.9721546927,0.2367202138,0.453917111
mir-6802,-0.0523803795,5.1406170518,0.238250591,0.4556772229
mir-4755,0.1418656348,5.321068812,0.2404598595,0.4587234243
mir-6767,0.6588109398,2.0611030341,0.241525393,0.45957773
mir-5582,0.4947529788,2.2067908464,0.2435727812,0.462291197
mir-3150a,0.0745110967,3.4722757957,0.246201324,0.4660910562
